"lakeid","yr_winter","maxdepth.t"
"Sparkling Lake",2003,19.468
"Sparkling Lake",2004,19.362
"Sparkling Lake",2005,19.343
"Sparkling Lake",2006,19.1
"Sparkling Lake",2007,18.995
"Sparkling Lake",2008,18.777
"Sparkling Lake",2009,18.736
"Sparkling Lake",2010,18.551
"Sparkling Lake",2011,18.985
"Sparkling Lake",2012,18.976
"Sparkling Lake",2013,18.737
"Sparkling Lake",2014,19.112
"Sparkling Lake",2015,19.541
"Sparkling Lake",2016,19.405
"Trout Bog",1985,7.803
"Trout Bog",1986,7.839
"Trout Bog",1987,7.80399999999997
"Trout Bog",1988,7.536
"Trout Bog",1989,7.23499999999996
"Trout Bog",1990,7.41899999999998
"Trout Bog",1991,7.72399999999999
"Trout Bog",1992,7.80599999999998
"Trout Bog",1993,7.68699999999995
"Trout Bog",1994,7.69799999999998
"Trout Bog",1995,7.75099999999998
"Trout Bog",1996,7.85499999999996
"Trout Bog",1997,7.82799999999997
"Trout Bog",1998,7.74899999999997
"Trout Bog",1999,7.55599999999998
"Trout Bog",2000,7.62799999999999
"Trout Bog",2001,7.73499999999996
"Trout Bog",2002,7.73399999999998
"Trout Bog",2003,7.70299999999997
"Trout Bog",2004,7.42499999999995
"Trout Bog",2005,7.48999999999995
"Trout Bog",2006,7.654
"Trout Bog",2007,7.505
"Trout Bog",2008,7.52299999999997
"Trout Bog",2009,7.38399999999996
"Trout Bog",2010,7.32999999999998
"Trout Bog",2011,7.72299999999996
"Trout Bog",2012,7.524
"Trout Bog",2013,7.39999999999998
"Trout Bog",2014,7.67099999999999
"Trout Bog",2015,7.69799999999998
"Trout Bog",2016,7.64799999999997
"Trout Lake",1985,35.441
"Trout Lake",1986,35.492
"Trout Lake",1987,35.415
"Trout Lake",1988,35.334
"Trout Lake",1989,35.342
"Trout Lake",1990,35.289
"Trout Lake",1991,35.408
"Trout Lake",1992,35.465
"Trout Lake",1993,35.423
"Trout Lake",1994,35.608
"Trout Lake",1995,35.426
"Trout Lake",1996,35.439
"Trout Lake",1997,35.475
"Trout Lake",1998,35.504
"Trout Lake",1999,35.402
"Trout Lake",2000,35.335
"Trout Lake",2001,35.36
"Trout Lake",2002,35.365
"Trout Lake",2003,35.415
"Trout Lake",2004,35.213
"Trout Lake",2005,35.371
"Trout Lake",2006,35.378
"Trout Lake",2007,35.317
"Trout Lake",2008,35.338
"Trout Lake",2009,35.272
"Trout Lake",2010,35.306
"Trout Lake",2011,35.399
"Trout Lake",2012,35.289
"Trout Lake",2013,35.376
"Trout Lake",2014,35.362
"Trout Lake",2015,35.473
"Trout Lake",2016,35.411
