"","lakestaday","upper.bound","lower.bound"
"516","Big Musky Lake 1 1998-01-15",1,16.5
"517","Big Musky Lake 1 1998-06-18",1.5,10
"518","Big Musky Lake 1 1998-07-13",2.5,8
"519","Big Musky Lake 1 1999-02-24",1,14
"520","Big Musky Lake 1 1999-06-01",6.5,11
"521","Big Musky Lake 1 1999-05-03",4,6.33333333333333
"522","Big Musky Lake 1 1999-03-24",1,15.5
"523","Big Musky Lake 1 1999-09-23",9,13
"524","Big Musky Lake 1 1999-10-21",5,14.7647058823529
"525","Big Musky Lake 1 1999-01-15",1,16
"526","Big Musky Lake 1 1999-06-28",2.83333333333333,8
"527","Big Musky Lake 1 1999-07-27",3.5,9
"528","Big Musky Lake 1 1999-11-11",5,14.2666666666667
"529","Big Musky Lake 1 1999-08-27",4,10
"530","Big Musky Lake 1 2000-04-05",3.5,14.7647058823529
"531","Big Musky Lake 1 2000-05-02",2.5,7
"532","Big Musky Lake 1 2000-02-23",1,16.5
"533","Big Musky Lake 1 2000-09-20",5,13
"534","Big Musky Lake 1 2000-05-30",7,10
"535","Big Musky Lake 1 2000-11-14",5,14.7647058823529
"536","Big Musky Lake 1 2000-06-26",7,10
"537","Big Musky Lake 1 2000-07-24",4.83333333333333,10
"538","Big Musky Lake 1 2000-08-24",3.5,11
"539","Big Musky Lake 1 2000-01-24",1,14.3846153846154
"540","Big Musky Lake 1 2000-10-16",1,16
"541","Big Musky Lake 1 2001-04-06",1,14.8333333333333
"542","Big Musky Lake 1 2001-01-18",1,13.8333333333333
"543","Big Musky Lake 1 2001-11-12",2.5,14
"544","Big Musky Lake 1 2001-02-23",1,14.6
"545","Big Musky Lake 1 2001-09-17",6.5,12
"546","Big Musky Lake 1 2001-05-04",2,14.3846153846154
"547","Big Musky Lake 1 2001-07-25",2.5,9
"548","Big Musky Lake 1 2001-06-27",3.5,9
"549","Big Musky Lake 1 2001-08-21",3.83333333333333,10
"550","Big Musky Lake 1 2001-10-16",3.5,14.7647058823529
"551","Big Musky Lake 1 2001-05-31",3.5,10
"552","Big Musky Lake 1 2002-01-22",5.5,15.8333333333333
"553","Big Musky Lake 1 2002-02-26",1,13.7692307692308
"554","Big Musky Lake 1 2002-04-16",4.9,15.5
"555","Big Musky Lake 1 2002-08-12",2.5,9
"556","Big Musky Lake 1 2002-09-09",2,11
"557","Big Musky Lake 1 2002-04-24",2.83333333333333,14.7647058823529
"558","Big Musky Lake 1 2002-11-05",3.5,17.5
"559","Big Musky Lake 1 2002-06-18",4,7
"560","Big Musky Lake 1 2002-07-03",2.16666666666667,6.33333333333333
"561","Big Musky Lake 1 2002-05-20",1.5,16
"562","Big Musky Lake 1 2002-10-07",5.16666666666667,14
"563","Big Musky Lake 1 2003-02-21",1,14.6
"564","Big Musky Lake 1 2003-08-19",1,9
"565","Big Musky Lake 1 2003-01-30",1,13.5
"566","Big Musky Lake 1 2003-04-01",3.16666666666667,17.5
"567","Big Musky Lake 1 2003-04-30",4.5,13.8
"568","Big Musky Lake 1 2003-11-10",5.5,14.5
"569","Big Musky Lake 1 2003-06-25",6,9.33333333333333
"570","Big Musky Lake 1 2003-07-23",1.83333333333333,8
"571","Big Musky Lake 1 2003-05-30",3,6.33333333333333
"572","Big Musky Lake 1 2003-09-17",6.75,11.3333333333333
"573","Big Musky Lake 1 2003-10-13",5,13.5
"574","Big Musky Lake 1 2004-01-26",1,14.8333333333333
"575","Big Musky Lake 1 2004-04-05",1,17.5
"576","Big Musky Lake 1 2004-11-08",5,14.7647058823529
"577","Big Musky Lake 1 2004-08-17",2.5,12.5
"578","Big Musky Lake 1 2004-06-22",5,10
"579","Big Musky Lake 1 2004-03-02",1,15.25
"580","Big Musky Lake 1 2004-10-12",1,18
"581","Big Musky Lake 1 2004-09-13",3,12.5
"582","Big Musky Lake 1 2004-07-19",4,11
"583","Big Musky Lake 1 2004-05-25",8.5,11.3333333333333
"584","Big Musky Lake 1 2004-04-29",3,14.7647058823529
"585","Big Musky Lake 1 2005-01-11",1,15.5
"586","Big Musky Lake 1 2005-07-12",1,8
"587","Big Musky Lake 1 2005-11-11",5,15.8
"588","Big Musky Lake 1 2005-02-24",1,15.1666666666667
"589","Big Musky Lake 1 2005-06-14",3,6.33333333333333
"590","Big Musky Lake 1 2005-10-05",9.5,13.3333333333333
"591","Big Musky Lake 1 2005-08-10",2,9
"592","Big Musky Lake 1 2005-04-22",5.83333333333333,12
"593","Big Musky Lake 1 2005-05-16",1,12
"594","Big Musky Lake 1 2005-09-09",9,11.3333333333333
"595","Big Musky Lake 1 2005-04-04",1,17
"596","Big Musky Lake 1 2006-07-10",7,9.33333333333333
"597","Big Musky Lake 1 2006-01-16",1,15.5
"598","Big Musky Lake 1 2006-02-21",2,17
"599","Big Musky Lake 1 2006-11-01",5,14.2666666666667
"600","Big Musky Lake 1 2006-10-02",1,15
"601","Big Musky Lake 1 2006-05-19",4.5,15.8333333333333
"602","Big Musky Lake 1 2006-06-13",2.16666666666667,6.33333333333333
"603","Big Musky Lake 1 2006-04-24",5,12.5714285714286
"604","Big Musky Lake 1 2006-08-07",4,9.33333333333333
"605","Big Musky Lake 1 2006-04-04",1,15.5
"606","Big Musky Lake 1 2006-09-05",4.5,10
"607","Big Musky Lake 1 2007-01-17",1,13
"608","Big Musky Lake 1 2007-07-18",1,11.5
"609","Big Musky Lake 1 2007-11-09",3.83333333333333,13.5
"610","Big Musky Lake 1 2007-09-11",1.5,13.3333333333333
"611","Big Musky Lake 1 2007-10-08",7.16666666666667,17.3333333333333
"612","Big Musky Lake 1 2007-05-22",5,10
"613","Big Musky Lake 1 2007-06-20",6.5,12
"614","Big Musky Lake 1 2007-03-30",3.5,15.75
"615","Big Musky Lake 1 2007-04-25",2.83333333333333,13.1666666666667
"616","Big Musky Lake 1 2007-08-15",4.5,11
"617","Big Musky Lake 1 2007-02-27",1,15.5
"618","Big Musky Lake 1 2008-10-21",5,18
"619","Big Musky Lake 1 2008-06-03",3.5,9
"620","Big Musky Lake 1 2008-01-16",1,17
"621","Big Musky Lake 1 2008-07-30",6.5,11
"622","Big Musky Lake 1 2008-09-22",9,13.3333333333333
"623","Big Musky Lake 1 2008-11-07",1,14.2666666666667
"624","Big Musky Lake 1 2008-08-28",4,11
"625","Big Musky Lake 1 2008-07-01",2.5,10
"626","Big Musky Lake 1 2008-03-26",2,18
"627","Big Musky Lake 1 2008-05-09",4.5,15.3333333333333
"628","Big Musky Lake 1 2008-02-26",2,16.5
"629","Big Musky Lake 1 2009-11-10",5,14.2666666666667
"630","Big Musky Lake 1 2009-10-12",1.5,14.2666666666667
"631","Big Musky Lake 1 2009-01-21",1,17
"632","Big Musky Lake 1 2009-07-20",6,11.3333333333333
"633","Big Musky Lake 1 2009-09-14",7.5,12
"634","Big Musky Lake 1 2009-05-26",6,12
"635","Big Musky Lake 1 2009-06-23",2,5
"636","Big Musky Lake 1 2009-03-16",4.25,13.5
"637","Big Musky Lake 1 2009-04-29",2.5,12.5
"638","Big Musky Lake 1 2009-08-17",7,12
"639","Big Musky Lake 1 2009-02-24",1,14.2
"640","Big Musky Lake 1 2010-11-11",5,14.7647058823529
"641","Big Musky Lake 1 2010-07-09",3,8
"642","Big Musky Lake 1 2010-09-27",4.83333333333333,16.5
"643","Big Musky Lake 1 2010-10-29",5,14.2666666666667
"644","Big Musky Lake 1 2010-05-10",2.5,10.9230769230769
"645","Big Musky Lake 1 2010-06-07",2.5,6.33333333333333
"646","Big Musky Lake 1 2010-02-12",1,13.8333333333333
"647","Big Musky Lake 1 2010-04-13",9,11.8
"648","Big Musky Lake 1 2010-08-30",3,11
"649","Big Musky Lake 1 2010-01-18",1,14.5
"650","Big Musky Lake 1 2010-08-02",4,9.33333333333333
"651","Big Musky Lake 1 2011-07-01",1,9.5
"652","Big Musky Lake 1 2011-11-15",5,15.5
"653","Big Musky Lake 1 2011-10-18",4,12.8333333333333
"654","Big Musky Lake 1 2011-09-19",5.16666666666667,11.3333333333333
"655","Big Musky Lake 1 2011-07-27",2.5,8
"656","Big Musky Lake 1 2011-05-31",2.25,8.5
"657","Big Musky Lake 1 2011-02-16",1,16
"658","Big Musky Lake 1 2011-03-22",1,16.5
"659","Big Musky Lake 1 2011-05-05",4,14.8333333333333
"660","Big Musky Lake 1 2011-08-23",5.5,10
"661","Big Musky Lake 1 2011-01-14",1,16
"662","Big Musky Lake 1 2012-06-25",3,10
"663","Big Musky Lake 1 2012-10-17",8,17.3333333333333
"664","Big Musky Lake 1 2012-09-17",5,13
"665","Big Musky Lake 1 2012-05-29",4,10
"666","Big Musky Lake 1 2012-02-20",2,15.1666666666667
"667","Big Musky Lake 1 2012-04-03",4.5,13.8333333333333
"668","Big Musky Lake 1 2012-04-30",7.16666666666667,14
"669","Big Musky Lake 1 2012-08-20",4,11
"670","Big Musky Lake 1 2012-11-13",7.83333333333333,13
"671","Big Musky Lake 1 2012-07-23",4,9.5
"672","Big Musky Lake 1 2012-01-11",4,15.5
"673","Big Musky Lake 1 2013-07-08",1.5,7
"674","Big Musky Lake 1 2013-11-14",5,14.2666666666667
"675","Big Musky Lake 1 2013-10-28",2,13
"676","Big Musky Lake 1 2013-09-30",8.5,12
"677","Big Musky Lake 1 2013-08-07",2.5,8.5
"678","Big Musky Lake 1 2013-06-10",1,7
"679","Big Musky Lake 1 2013-01-18",1,13.5
"680","Big Musky Lake 1 2013-02-22",1,17
"681","Big Musky Lake 1 2013-03-29",2,15.8333333333333
"682","Big Musky Lake 1 2013-05-15",6.16666666666667,15
"683","Big Musky Lake 1 2013-09-03",2.5,9.33333333333333
"684","Crystal Bog 1 1985-07-10",0.333333333333333,2
"685","Crystal Bog 1 1985-06-10",0.333333333333333,2
"686","Crystal Bog 1 1985-07-22",0.333333333333333,2
"687","Crystal Bog 1 1985-08-20",0.333333333333333,2
"688","Crystal Bog 1 1985-08-05",0.333333333333333,2
"689","Crystal Bog 1 1985-10-24",0.333333333333333,2
"690","Crystal Bog 1 1985-09-09",0.333333333333333,2
"691","Crystal Bog 1 1985-03-26",0.333333333333333,2
"692","Crystal Bog 1 1985-06-25",0.333333333333333,2
"693","Crystal Bog 1 1985-10-03",0.333333333333333,2
"694","Crystal Bog 1 1985-02-26",0.333333333333333,2
"695","Crystal Bog 1 1985-05-14",0.333333333333333,2
"696","Crystal Bog 1 1985-05-30",0.333333333333333,2
"697","Crystal Bog 1 1985-05-02",0.333333333333333,2
"698","Crystal Bog 1 1985-11-12",0.333333333333333,2
"699","Crystal Bog 1 1986-02-25",0.333333333333333,2
"700","Crystal Bog 1 1986-01-13",0.333333333333333,2
"701","Crystal Bog 1 1986-07-14",0.333333333333333,2
"702","Crystal Bog 1 1986-05-20",0.333333333333333,2
"703","Crystal Bog 1 1986-04-23",0.333333333333333,2
"704","Crystal Bog 1 1986-09-09",0.333333333333333,2
"705","Crystal Bog 1 1986-11-05",0.333333333333333,2
"706","Crystal Bog 1 1986-06-17",0.333333333333333,2
"707","Crystal Bog 1 1986-08-11",0.333333333333333,2
"708","Crystal Bog 1 1986-10-08",0.333333333333333,2
"709","Crystal Bog 1 1987-01-20",0.333333333333333,2
"710","Crystal Bog 1 1987-02-23",0.333333333333333,2
"711","Crystal Bog 1 1987-08-13",0.333333333333333,2
"712","Crystal Bog 1 1987-07-14",0.333333333333333,2
"713","Crystal Bog 1 1987-03-19",0.333333333333333,2
"714","Crystal Bog 1 1987-04-13",0.333333333333333,2
"715","Crystal Bog 1 1987-05-19",0.333333333333333,2
"716","Crystal Bog 1 1987-09-10",0.333333333333333,2
"717","Crystal Bog 1 1987-06-23",0.333333333333333,2
"718","Crystal Bog 1 1987-10-29",0.333333333333333,2
"719","Crystal Bog 1 1987-10-07",0.333333333333333,2
"720","Crystal Bog 1 1988-01-20",0.333333333333333,2
"721","Crystal Bog 1 1988-09-14",0.333333333333333,2
"722","Crystal Bog 1 1988-07-18",0.333333333333333,2
"723","Crystal Bog 1 1988-02-29",0.333333333333333,2
"724","Crystal Bog 1 1988-03-23",0.333333333333333,2
"725","Crystal Bog 1 1988-08-15",0.333333333333333,2
"726","Crystal Bog 1 1988-10-10",0.333333333333333,2
"727","Crystal Bog 1 1988-11-16",0.333333333333333,2
"728","Crystal Bog 1 1988-05-23",0.333333333333333,2
"729","Crystal Bog 1 1988-04-21",0.333333333333333,2
"730","Crystal Bog 1 1988-06-22",0.333333333333333,2
"731","Crystal Bog 1 1989-08-23",0.333333333333333,2
"732","Crystal Bog 1 1989-02-21",0.333333333333333,2
"733","Crystal Bog 1 1989-03-28",0.333333333333333,2
"734","Crystal Bog 1 1989-05-04",0.333333333333333,2
"735","Crystal Bog 1 1989-11-07",0.333333333333333,2
"736","Crystal Bog 1 1989-07-26",0.333333333333333,2
"737","Crystal Bog 1 1989-01-19",0.333333333333333,2
"738","Crystal Bog 1 1989-10-18",0.333333333333333,2
"739","Crystal Bog 1 1989-06-26",0.333333333333333,2
"740","Crystal Bog 1 1989-09-19",0.333333333333333,2
"741","Crystal Bog 1 1989-05-30",0.333333333333333,2
"742","Crystal Bog 1 1990-08-20",0.333333333333333,2
"743","Crystal Bog 1 1990-06-25",0.333333333333333,2
"744","Crystal Bog 1 1990-01-18",0.333333333333333,2
"745","Crystal Bog 1 1990-05-02",0.333333333333333,2
"746","Crystal Bog 1 1990-03-28",0.333333333333333,2
"747","Crystal Bog 1 1990-10-15",0.333333333333333,2
"748","Crystal Bog 1 1990-09-17",0.333333333333333,2
"749","Crystal Bog 1 1990-02-27",0.333333333333333,2
"750","Crystal Bog 1 1990-05-30",0.333333333333333,2
"751","Crystal Bog 1 1990-11-08",0.333333333333333,2
"752","Crystal Bog 1 1990-07-25",0.333333333333333,2
"753","Crystal Bog 1 1991-02-18",0.333333333333333,2
"754","Crystal Bog 1 1991-07-02",0.333333333333333,2
"755","Crystal Bog 1 1991-08-26",0.333333333333333,2
"756","Crystal Bog 1 1991-09-25",0.333333333333333,2
"757","Crystal Bog 1 1991-01-15",0.333333333333333,2
"758","Crystal Bog 1 1991-03-22",0.333333333333333,2
"759","Crystal Bog 1 1991-05-09",0.333333333333333,2
"760","Crystal Bog 1 1991-06-03",0.333333333333333,2
"761","Crystal Bog 1 1991-10-29",0.333333333333333,2
"762","Crystal Bog 1 1991-07-31",0.333333333333333,2
"763","Crystal Bog 1 1992-08-26",0.333333333333333,2
"764","Crystal Bog 1 1992-07-27",0.333333333333333,2
"765","Crystal Bog 1 1992-06-04",0.333333333333333,2
"766","Crystal Bog 1 1992-03-25",0.333333333333333,2
"767","Crystal Bog 1 1992-05-04",0.333333333333333,2
"768","Crystal Bog 1 1992-09-23",0.333333333333333,2
"769","Crystal Bog 1 1992-07-08",0.333333333333333,2
"770","Crystal Bog 1 1992-01-15",0.333333333333333,2
"771","Crystal Bog 1 1992-02-25",0.333333333333333,2
"772","Crystal Bog 1 1992-11-05",0.333333333333333,2
"773","Crystal Bog 1 1992-10-22",0.333333333333333,2
"774","Crystal Bog 1 1993-10-20",0.333333333333333,2
"775","Crystal Bog 1 1993-07-29",0.333333333333333,2
"776","Crystal Bog 1 1993-06-03",0.333333333333333,2
"777","Crystal Bog 1 1993-01-14",0.333333333333333,2
"778","Crystal Bog 1 1993-02-25",0.333333333333333,2
"779","Crystal Bog 1 1993-11-02",0.333333333333333,2
"780","Crystal Bog 1 1993-03-23",0.333333333333333,2
"781","Crystal Bog 1 1993-05-04",0.333333333333333,2
"782","Crystal Bog 1 1993-07-01",0.333333333333333,2
"783","Crystal Bog 1 1993-09-20",0.333333333333333,2
"784","Crystal Bog 1 1993-08-25",0.333333333333333,2
"785","Crystal Bog 1 1994-11-15",0.333333333333333,2
"786","Crystal Bog 1 1994-08-22",0.333333333333333,2
"787","Crystal Bog 1 1994-01-17",0.333333333333333,2
"788","Crystal Bog 1 1994-02-23",0.333333333333333,2
"789","Crystal Bog 1 1994-03-30",0.333333333333333,2
"790","Crystal Bog 1 1994-10-20",0.333333333333333,2
"791","Crystal Bog 1 1994-06-06",0.333333333333333,2
"792","Crystal Bog 1 1994-07-26",0.333333333333333,2
"793","Crystal Bog 1 1994-05-02",0.333333333333333,2
"794","Crystal Bog 1 1994-09-20",0.333333333333333,2
"795","Crystal Bog 1 1994-06-29",0.333333333333333,2
"796","Crystal Bog 1 1995-06-02",0.333333333333333,2
"797","Crystal Bog 1 1995-09-21",0.333333333333333,2
"798","Crystal Bog 1 1995-01-12",0.333333333333333,2
"799","Crystal Bog 1 1995-02-15",0.333333333333333,2
"800","Crystal Bog 1 1995-06-27",0.333333333333333,2
"801","Crystal Bog 1 1995-11-08",0.333333333333333,2
"802","Crystal Bog 1 1995-10-17",0.333333333333333,2
"803","Crystal Bog 1 1995-08-22",0.333333333333333,2
"804","Crystal Bog 1 1995-07-24",0.333333333333333,2
"805","Crystal Bog 1 1995-03-20",0.333333333333333,2
"806","Crystal Bog 1 1995-05-02",0.333333333333333,2
"807","Crystal Bog 1 1996-04-08",0.333333333333333,2
"808","Crystal Bog 1 1996-05-08",0.333333333333333,2
"809","Crystal Bog 1 1996-01-17",0.333333333333333,2
"810","Crystal Bog 1 1996-07-08",0.333333333333333,2
"811","Crystal Bog 1 1996-09-05",0.333333333333333,2
"812","Crystal Bog 1 1996-02-20",0.333333333333333,2
"813","Crystal Bog 1 1996-11-05",0.333333333333333,2
"814","Crystal Bog 1 1996-08-07",0.333333333333333,2
"815","Crystal Bog 1 1996-06-13",0.333333333333333,2
"816","Crystal Bog 1 1996-10-01",0.333333333333333,2
"817","Crystal Bog 1 1997-01-13",0.333333333333333,2
"818","Crystal Bog 1 1997-07-29",0.333333333333333,2
"819","Crystal Bog 1 1997-06-02",0.333333333333333,2
"820","Crystal Bog 1 1997-10-21",0.333333333333333,2
"821","Crystal Bog 1 1997-02-17",0.333333333333333,2
"822","Crystal Bog 1 1997-05-07",0.333333333333333,2
"823","Crystal Bog 1 1997-04-10",0.333333333333333,2
"824","Crystal Bog 1 1997-11-06",0.333333333333333,2
"825","Crystal Bog 1 1997-06-30",0.333333333333333,2
"826","Crystal Bog 1 1997-09-22",0.333333333333333,2
"827","Crystal Bog 1 1997-08-26",0.333333333333333,2
"828","Crystal Bog 1 1998-09-08",0.333333333333333,2
"829","Crystal Bog 1 1998-08-10",0.333333333333333,2
"830","Crystal Bog 1 1998-10-07",0.333333333333333,2
"831","Crystal Bog 1 1998-03-17",0.333333333333333,2
"832","Crystal Bog 1 1998-04-20",0.333333333333333,2
"833","Crystal Bog 1 1998-01-20",0.333333333333333,2
"834","Crystal Bog 1 1998-06-16",0.333333333333333,2
"835","Crystal Bog 1 1998-05-19",0.333333333333333,2
"836","Crystal Bog 1 1998-02-19",0.333333333333333,2
"837","Crystal Bog 1 1998-11-02",0.333333333333333,2
"838","Crystal Bog 1 1998-07-15",0.333333333333333,2
"839","Crystal Bog 1 1999-06-30",0.333333333333333,2
"840","Crystal Bog 1 1999-08-25",0.333333333333333,2
"841","Crystal Bog 1 1999-07-26",0.333333333333333,2
"842","Crystal Bog 1 1999-03-29",0.333333333333333,2
"843","Crystal Bog 1 1999-10-20",0.333333333333333,2
"844","Crystal Bog 1 1999-09-21",0.333333333333333,2
"845","Crystal Bog 1 1999-05-04",0.333333333333333,2
"846","Crystal Bog 1 1999-01-19",0.333333333333333,2
"847","Crystal Bog 1 1999-06-02",0.333333333333333,2
"848","Crystal Bog 1 1999-02-25",0.333333333333333,2
"849","Crystal Bog 1 1999-11-03",0.333333333333333,2
"850","Crystal Bog 1 2000-07-27",0.333333333333333,2
"851","Crystal Bog 1 2000-10-18",0.333333333333333,2
"852","Crystal Bog 1 2000-09-18",0.333333333333333,2
"853","Crystal Bog 1 2000-05-01",0.333333333333333,2
"854","Crystal Bog 1 2000-11-13",0.333333333333333,2
"855","Crystal Bog 1 2000-05-31",0.333333333333333,2
"856","Crystal Bog 1 2000-06-28",0.333333333333333,2
"857","Crystal Bog 1 2000-03-29",0.333333333333333,2
"858","Crystal Bog 1 2000-08-22",0.333333333333333,2
"859","Crystal Bog 1 2000-01-28",0.333333333333333,2
"860","Crystal Bog 1 2000-02-23",0.333333333333333,2
"861","Crystal Bog 1 2001-09-19",0.333333333333333,2
"862","Crystal Bog 1 2001-07-24",0.333333333333333,2
"863","Crystal Bog 1 2001-01-16",0.333333333333333,2
"864","Crystal Bog 1 2001-03-01",0.333333333333333,2
"865","Crystal Bog 1 2001-08-22",0.333333333333333,2
"866","Crystal Bog 1 2001-11-12",0.333333333333333,2
"867","Crystal Bog 1 2001-10-17",0.333333333333333,2
"868","Crystal Bog 1 2001-06-04",0.333333333333333,2
"869","Crystal Bog 1 2001-04-02",0.333333333333333,2
"870","Crystal Bog 1 2001-05-03",0.333333333333333,2
"871","Crystal Bog 1 2001-06-26",0.333333333333333,2
"872","Crystal Bog 1 2002-08-13",0.333333333333333,2
"873","Crystal Bog 1 2002-10-28",0.333333333333333,2
"874","Crystal Bog 1 2002-10-08",0.333333333333333,2
"875","Crystal Bog 1 2002-05-21",0.333333333333333,2
"876","Crystal Bog 1 2002-06-18",0.333333333333333,2
"877","Crystal Bog 1 2002-07-17",0.333333333333333,2
"878","Crystal Bog 1 2002-09-10",0.333333333333333,2
"879","Crystal Bog 1 2002-04-25",0.333333333333333,2
"880","Crystal Bog 1 2002-02-22",0.333333333333333,2
"881","Crystal Bog 1 2002-01-22",0.333333333333333,2
"882","Crystal Bog 1 2002-04-02",0.333333333333333,2
"883","Crystal Bog 1 2003-05-27",0.333333333333333,2
"884","Crystal Bog 1 2003-10-15",0.333333333333333,2
"885","Crystal Bog 1 2003-02-03",0.333333333333333,2
"886","Crystal Bog 1 2003-02-20",0.333333333333333,2
"887","Crystal Bog 1 2003-04-01",0.333333333333333,2
"888","Crystal Bog 1 2003-08-18",0.333333333333333,2
"889","Crystal Bog 1 2003-07-22",0.333333333333333,2
"890","Crystal Bog 1 2003-11-06",0.333333333333333,2
"891","Crystal Bog 1 2003-09-18",0.333333333333333,2
"892","Crystal Bog 1 2003-05-01",0.333333333333333,2
"893","Crystal Bog 1 2003-06-25",0.333333333333333,2
"894","Crystal Bog 1 2004-06-23",0.333333333333333,2
"895","Crystal Bog 1 2004-08-18",0.333333333333333,2
"896","Crystal Bog 1 2004-02-27",0.333333333333333,2
"897","Crystal Bog 1 2004-09-14",0.333333333333333,2
"898","Crystal Bog 1 2004-01-21",0.333333333333333,2
"899","Crystal Bog 1 2004-04-06",0.333333333333333,2
"900","Crystal Bog 1 2004-07-20",0.333333333333333,2
"901","Crystal Bog 1 2004-10-13",0.333333333333333,2
"902","Crystal Bog 1 2004-04-28",0.333333333333333,2
"903","Crystal Bog 1 2004-05-27",0,2
"904","Crystal Bog 1 2004-11-08",0.333333333333333,2
"905","Crystal Bog 1 2005-03-31",0.333333333333333,2
"906","Crystal Bog 1 2005-07-13",0.333333333333333,2
"907","Crystal Bog 1 2005-01-12",0.333333333333333,2
"908","Crystal Bog 1 2005-05-17",0.333333333333333,2
"909","Crystal Bog 1 2005-02-28",0.333333333333333,2
"910","Crystal Bog 1 2005-04-18",0.333333333333333,2
"911","Crystal Bog 1 2005-10-06",0.333333333333333,2
"912","Crystal Bog 1 2005-09-07",0.333333333333333,2
"913","Crystal Bog 1 2005-06-15",0.333333333333333,2
"914","Crystal Bog 1 2005-08-09",0.333333333333333,2
"915","Crystal Bog 1 2005-11-08",0.333333333333333,2
"916","Crystal Bog 1 2006-01-12",0.333333333333333,2
"917","Crystal Bog 1 2006-04-18",0.333333333333333,2
"918","Crystal Bog 1 2006-07-12",0.333333333333333,2
"919","Crystal Bog 1 2006-09-07",0.333333333333333,2
"920","Crystal Bog 1 2006-08-07",0.333333333333333,2
"921","Crystal Bog 1 2006-05-17",0.333333333333333,2
"922","Crystal Bog 1 2006-02-23",0.333333333333333,2
"923","Crystal Bog 1 2006-03-27",0.333333333333333,2
"924","Crystal Bog 1 2006-10-26",0.333333333333333,2
"925","Crystal Bog 1 2006-10-03",0.333333333333333,2
"926","Crystal Bog 1 2006-06-13",0.333333333333333,2
"927","Crystal Bog 1 2007-08-14",0.333333333333333,2
"928","Crystal Bog 1 2007-05-23",0.333333333333333,2
"929","Crystal Bog 1 2007-07-18",0.333333333333333,2
"930","Crystal Bog 1 2007-06-18",0.333333333333333,2
"931","Crystal Bog 1 2007-11-08",0.333333333333333,2
"932","Crystal Bog 1 2007-09-10",0.333333333333333,2
"933","Crystal Bog 1 2007-01-22",0.333333333333333,2
"934","Crystal Bog 1 2007-02-21",0.333333333333333,2
"935","Crystal Bog 1 2007-04-23",0.333333333333333,2
"936","Crystal Bog 1 2007-10-10",0.333333333333333,2
"937","Crystal Bog 1 2008-05-06",0.333333333333333,2
"938","Crystal Bog 1 2008-01-28",0.333333333333333,2
"939","Crystal Bog 1 2008-08-27",0.333333333333333,2
"940","Crystal Bog 1 2008-02-25",0.333333333333333,2
"941","Crystal Bog 1 2008-07-02",0.333333333333333,2
"942","Crystal Bog 1 2008-03-24",0.333333333333333,2
"943","Crystal Bog 1 2008-10-22",0.333333333333333,2
"944","Crystal Bog 1 2008-11-06",0.333333333333333,2
"945","Crystal Bog 1 2008-09-25",0.333333333333333,2
"946","Crystal Bog 1 2008-06-05",0.333333333333333,2
"947","Crystal Bog 1 2008-07-29",0.333333333333333,2
"948","Crystal Bog 1 2009-06-23",0.333333333333333,2
"949","Crystal Bog 1 2009-04-27",0.333333333333333,2
"950","Crystal Bog 1 2009-08-18",0.333333333333333,2
"951","Crystal Bog 1 2009-07-22",0.333333333333333,2
"952","Crystal Bog 1 2009-03-18",0.333333333333333,2
"953","Crystal Bog 1 2009-09-16",0.333333333333333,2
"954","Crystal Bog 1 2009-01-22",0.333333333333333,2
"955","Crystal Bog 1 2009-02-17",0.333333333333333,2
"956","Crystal Bog 1 2009-10-13",0.333333333333333,2
"957","Crystal Bog 1 2009-05-27",0.333333333333333,2
"958","Crystal Bog 1 2009-11-09",0.333333333333333,2
"959","Crystal Bog 1 2010-02-22",0.333333333333333,2
"960","Crystal Bog 1 2010-01-14",0.333333333333333,2
"961","Crystal Bog 1 2010-06-08",0.333333333333333,2
"962","Crystal Bog 1 2010-09-27",0.333333333333333,2
"963","Crystal Bog 1 2010-04-14",0.333333333333333,2
"964","Crystal Bog 1 2010-07-06",0.333333333333333,2
"965","Crystal Bog 1 2010-05-11",0.333333333333333,2
"966","Crystal Bog 1 2010-08-04",0.333333333333333,2
"967","Crystal Bog 1 2010-10-25",0.333333333333333,2
"968","Crystal Bog 1 2010-09-02",0.333333333333333,2
"969","Crystal Bog 1 2010-11-12",0.333333333333333,2
"970","Crystal Bog 1 2011-06-02",0.333333333333333,2
"971","Crystal Bog 1 2011-09-21",0.333333333333333,2
"972","Crystal Bog 1 2011-02-17",0.333333333333333,2
"973","Crystal Bog 1 2011-03-17",0.333333333333333,2
"974","Crystal Bog 1 2011-08-24",0.333333333333333,2
"975","Crystal Bog 1 2011-11-08",0.333333333333333,2
"976","Crystal Bog 1 2011-05-02",0.333333333333333,2
"977","Crystal Bog 1 2011-07-26",0.333333333333333,2
"978","Crystal Bog 1 2011-10-19",0.333333333333333,2
"979","Crystal Bog 1 2011-06-29",0.333333333333333,2
"980","Crystal Bog 1 2011-01-25",0.333333333333333,2
"981","Crystal Bog 1 2012-08-22",0.333333333333333,2
"982","Crystal Bog 1 2012-05-30",0.333333333333333,2
"983","Crystal Bog 1 2012-05-01",0.333333333333333,2
"984","Crystal Bog 1 2012-11-05",0.333333333333333,2
"985","Crystal Bog 1 2012-07-24",0.333333333333333,2
"986","Crystal Bog 1 2012-06-27",0.333333333333333,2
"987","Crystal Bog 1 2012-01-09",0.333333333333333,2
"988","Crystal Bog 1 2012-04-04",0.333333333333333,2
